%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1654092487729195430,0,0.0870019262963599,0.009072909512362642,0.07068514981112638,0.010417091453468391,0.0445205856155563,0.011786559387877746,0.07768031529017858,0.027899371136675823,0.08860453511332417,0.039530156732915524,0.05924944196428572,0.019470080700549453,0.04331604674622255,0.03518522493131869,0.053833276098901095,0.036135663043011676
1654092487760503781,0,0.06678875933636677,0.008915827824519218,0.0508430900154533,0.009994137942135994,0.02397782881181318,0.010890885237809053,0.05799265431833791,0.027462064302884615,0.06815728826837225,0.0388066889165522,0.03934815794557006,0.018903392749828295,0.023052509014423073,0.03475382039835166,0.034159901377918966,0.03564282092419299
1654092487789062564,0,0.047007600553743145,0.009328854739010989,0.031668258499313186,0.010086629678914827,0.004263942844265123,0.010529704670329668,0.03852706741500686,0.02700705056662088,0.048340447394402464,0.03820116650927198,0.020171850854223905,0.018635441706730767,0.0033240014380151173,0.03475898491157281,0.014919339693509628,0.035595300695398346
1654092487882835431,0,0.028097299429086564,0.01062394026871566,0.013345571664663464,0.011123891977163458,-0.014722954047905218,0.011018187135130489,0.019826029683207416,0.027816805996737637,0.0290774167239011,0.038930939056061126,0.0018075796274038408,0.019422392792754123,-0.01538870675223214,0.035610190590659355,-0.0034556629893543883,0.0362787603021978
1654092487922596234,0,0.010094611199347542,0.012364448295844765,-0.0042004260388049455,0.012202135023179933,-0.032583517556662084,0.01158152150583791,0.001662168398008243,0.028981638478708792,0.010759693187671698,0.03992353166852679,-0.01588872553228022,0.020409552605597528,-0.03338589511074863,0.03671683845939218,-0.021224204262534338,0.037004642696171014
1654092487953073692,0,-0.007183837890624989,0.013782476068853022,-0.020907626309237634,0.013295938680460168,-0.049346923828125,0.012006822523179944,-0.015259325635302204,0.02992600661057692,-0.00704617343106112,0.04073694250085852,-0.03255071954412775,0.021314750922905218,-0.05069023383842719,0.03740838019402473,-0.03826193337912087,0.03792835277515452
1654092488001683430,0,-0.023239839993990374,0.014480624356112637,-0.03633020421960852,0.013530420995020609,-0.06482315901871566,0.011552949004120877,-0.031484482314560455,0.030201000171703296,-0.023424085679945056,0.04093969994848901,-0.04779850886418269,0.021325012877747254,-0.06639846969436813,0.03757411411830358,-0.05371308379120879,0.0380116221668956
1654092488047537823,0,-0.03790263081644915,0.014175918076064553,-0.05081062736092033,0.0131676977807349,-0.07932839865212912,0.01067437811212224,-0.046083555116758254,0.029448523888221154,-0.038796896462912095,0.039974036583533656,-0.062225408868475274,0.02074021559495192,-0.08060450291895604,0.03687512743604053,-0.06801959027300823,0.03729345300695398
1654092488095483032,0,-0.05200939807263047,0.013372266161572804,-0.06420449057778159,0.012227286873282978,-0.09261139251373626,0.009682590358859877,-0.05973141848385989,0.028490607293097527,-0.05296335744333794,0.03877348847441621,-0.07556239536830357,0.019532725575206043,-0.09401660961109203,0.03589893382984205,-0.08115106938959478,0.036168528127146285
1654092488142478417,0,-0.06463773957975616,0.012581760280734877,-0.07650052584134616,0.01129532698746566,-0.10462083082932691,0.008667394617101642,-0.07247415060525413,0.02731209220467033,-0.06593829144488325,0.03784504984761332,-0.08766077062585852,0.01865777654962225,-0.10632840670072115,0.03514333871694712,-0.09337849040607829,0.03526114998282967
