%time,field0,field1
1653385530958069087,690.0,100.0
1653385531022439949,690.0,100.0
1653385531118871305,690.0,100.0
1653385531180616342,690.0,100.0
1653385531277081005,686.0,100.0
1653385531343232914,686.0,100.0
1653385531438406558,686.0,100.0
1653385531503663348,686.0,100.0
1653385531599205937,683.0,100.0
1653385531675332876,683.0,100.0
1653385531756994716,683.0,100.0
1653385531838327161,683.0,100.0
1653385531919352766,679.0,100.0
1653385531999651527,679.0,100.0
1653385532079248051,679.0,100.0
1653385532154235235,679.0,100.0
1653385532253452469,676.0,100.0
1653385532317258721,676.0,100.0
1653385532414992822,676.0,100.0
1653385532476257910,676.0,100.0
1653385532572957590,675.0,100.0
1653385532638655103,675.0,100.0
1653385532732090761,675.0,100.0
1653385532800501555,675.0,100.0
1653385532894375546,673.0,100.0
1653385532971280162,673.0,100.0
1653385533055961156,673.0,100.0
1653385533132031525,673.0,100.0
1653385533213978841,672.0,100.0
1653385533292997911,672.0,100.0
1653385533375498143,672.0,100.0
1653385533455443225,672.0,100.0
1653385533535143368,678.0,100.0
1653385533612748043,678.0,100.0
1653385533692171229,678.0,100.0
1653385533774911016,678.0,100.0
1653385533853400437,686.0,100.0
1653385533935109281,686.0,100.0
1653385534012431030,686.0,100.0
1653385534091949301,686.0,100.0
1653385534191580435,686.0,100.0
1653385534301882393,686.0,100.0
1653385534380382116,686.0,100.0
1653385534479319110,701.0,100.0
1653385534542227507,701.0,100.0
1653385534639451251,701.0,100.0
1653385534703193188,701.0,100.0
1653385534796614086,716.0,100.0
1653385534861244299,716.0,100.0
1653385534961682785,716.0,100.0
1653385535086081204,733.0,100.0
1653385535150922209,733.0,100.0
1653385535244041827,733.0,100.0
1653385535311680347,733.0,100.0
1653385535409667518,749.0,100.0
1653385535471863527,749.0,100.0
1653385535566119491,749.0,100.0
1653385535632855916,749.0,100.0
1653385535724901663,765.0,100.0
1653385535791486535,765.0,100.0
1653385535886589481,765.0,100.0
1653385535951270072,765.0,100.0
