%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653385401827181060,1500,1500,1422,1536,1514,1500,1500,1500
1653385401831934361,1500,1500,1500,1500,1500,1500,1500,1500
1653385401856802962,1500,1500,1422,1536,1514,1500,1500,1500
1653385401863613070,1500,1500,1422,1536,1514,1500,1500,1500
1653385401887768037,1500,1500,1422,1536,1514,1500,1500,1500
1653385401892680996,1500,1500,1422,1536,1514,1500,1500,1500
1653385401908430824,1500,1500,1422,1536,1514,1500,1500,1500
1653385401922444110,1500,1500,1422,1536,1514,1500,1500,1500
1653385401928950813,1500,1500,1422,1536,1514,1500,1500,1500
1653385401954814246,1500,1500,1422,1536,1514,1500,1500,1500
1653385401961581929,1500,1500,1422,1536,1514,1500,1500,1500
1653385401972461088,1500,1500,1422,1536,1514,1500,1500,1500
1653385401987619588,1500,1500,1422,1536,1514,1500,1500,1500
1653385401992777613,1500,1500,1422,1536,1514,1500,1500,1500
1653385402010766221,1500,1500,1500,1500,1500,1500,1500,1500
1653385402020559575,1500,1500,1422,1536,1514,1500,1500,1500
1653385402027195194,1500,1500,1422,1536,1514,1500,1500,1500
1653385402049834786,1500,1500,1422,1536,1514,1500,1500,1500
1653385402054555863,1500,1500,1422,1536,1514,1500,1500,1500
1653385402060172744,1500,1500,1422,1536,1514,1500,1500,1500
1653385402087629366,1500,1500,1422,1536,1514,1500,1500,1500
1653385402092540811,1500,1500,1421,1536,1514,1500,1500,1500
1653385402120502750,1500,1500,1421,1536,1514,1500,1500,1500
1653385402125139606,1500,1500,1421,1536,1514,1500,1500,1500
1653385402133540779,1500,1500,1421,1536,1514,1500,1500,1500
1653385402152105251,1500,1500,1421,1536,1514,1500,1500,1500
1653385402159087384,1500,1500,1421,1536,1514,1500,1500,1500
1653385402187974399,1500,1500,1421,1536,1514,1500,1500,1500
1653385402192519705,1500,1500,1422,1536,1514,1500,1500,1500
1653385402220740480,1500,1500,1422,1536,1514,1500,1500,1500
1653385402228184109,1500,1500,1422,1536,1514,1500,1500,1500
1653385402228909953,1500,1500,1422,1536,1514,1500,1500,1500
1653385402252184867,1500,1500,1422,1536,1514,1500,1500,1500
1653385402259425378,1500,1500,1422,1536,1514,1500,1500,1500
1653385402284171585,1500,1500,1422,1536,1514,1500,1500,1500
1653385402292010029,1500,1500,1422,1536,1514,1500,1500,1500
1653385402293508514,1500,1500,1422,1536,1514,1500,1500,1500
1653385402317338832,1500,1500,1422,1536,1514,1500,1500,1500
1653385402321846892,1500,1500,1422,1536,1514,1500,1500,1500
1653385402351392905,1500,1500,1422,1536,1514,1500,1500,1500
1653385402353216253,1500,1500,1422,1536,1514,1500,1500,1500
1653385402384258813,1500,1500,1422,1536,1514,1500,1500,1500
1653385402388168671,1500,1500,1422,1536,1514,1500,1500,1500
1653385402395845537,1500,1500,1422,1536,1514,1500,1500,1500
1653385402417416423,1500,1500,1422,1536,1514,1500,1500,1500
1653385402423507072,1500,1500,1422,1536,1514,1500,1500,1500
1653385402450331722,1500,1500,1422,1536,1514,1500,1500,1500
1653385402458917139,1500,1500,1422,1536,1514,1500,1500,1500
1653385402482599511,1500,1500,1422,1536,1514,1500,1500,1500
1653385402489091302,1500,1500,1422,1536,1514,1500,1500,1500
1653385402517651611,1500,1500,1422,1536,1514,1500,1500,1500
1653385402518751932,1500,1500,1422,1536,1514,1500,1500,1500
1653385402521700224,1500,1500,1422,1536,1514,1500,1500,1500
1653385402548113383,1500,1500,1422,1536,1514,1500,1500,1500
1653385402550140057,1500,1500,1422,1536,1514,1500,1500,1500
1653385402581146371,1500,1500,1422,1536,1514,1500,1500,1500
1653385402581513779,1500,1500,1422,1536,1514,1500,1500,1500
1653385402583033915,1500,1500,1422,1536,1514,1500,1500,1500
1653385402614956795,1500,1500,1422,1536,1514,1500,1500,1500
1653385402623006021,1500,1500,1422,1536,1514,1500,1500,1500
1653385402648023291,1500,1500,1422,1536,1514,1500,1500,1500
1653385402650572227,1500,1500,1422,1536,1514,1500,1500,1500
1653385402675646388,1500,1500,1422,1536,1514,1500,1500,1500
1653385402680570605,1500,1500,1422,1536,1514,1500,1500,1500
1653385402687849112,1500,1500,1422,1536,1514,1500,1500,1500
1653385402714911835,1500,1500,1422,1536,1514,1500,1500,1500
1653385402722141368,1500,1500,1422,1536,1514,1500,1500,1500
1653385402743107113,1500,1500,1422,1536,1514,1500,1500,1500
1653385402755285778,1500,1500,1423,1464,1514,1500,1500,1500
1653385402755603840,1500,1500,1423,1464,1514,1500,1500,1500
1653385402780741779,1500,1500,1423,1464,1514,1500,1500,1500
1653385402786970301,1500,1500,1423,1464,1514,1500,1500,1500
1653385402812591706,1500,1500,1423,1463,1514,1500,1500,1500
1653385402819210808,1500,1500,1423,1463,1514,1500,1500,1500
1653385402838519502,1500,1500,1423,1463,1513,1500,1500,1500
1653385402848988181,1500,1500,1423,1463,1513,1500,1500,1500
1653385402852088712,1500,1500,1424,1463,1513,1500,1500,1500
1653385402878439490,1500,1500,1424,1462,1513,1500,1500,1500
1653385402888199347,1500,1500,1424,1462,1513,1500,1500,1500
1653385402913121427,1500,1500,1424,1462,1513,1500,1500,1500
1653385402914701656,1500,1500,1424,1462,1513,1500,1500,1500
1653385402921679365,1500,1500,1425,1462,1513,1500,1500,1500
1653385402944617900,1500,1500,1425,1461,1513,1500,1500,1500
1653385402949007083,1500,1500,1426,1461,1513,1500,1500,1500
1653385402979178788,1500,1500,1426,1461,1513,1500,1500,1500
1653385402982979473,1500,1500,1426,1461,1513,1500,1500,1500
1653385402994499240,1500,1500,1426,1461,1513,1500,1500,1500
1653385403008976745,1500,1500,1426,1461,1513,1500,1500,1500
1653385403012954903,1500,1500,1426,1461,1513,1500,1500,1500
1653385403044856647,1500,1500,1426,1461,1513,1500,1500,1500
1653385403048749119,1500,1500,1426,1461,1513,1500,1500,1500
1653385403076849444,1500,1500,1426,1461,1513,1500,1500,1500
1653385403079513635,1500,1500,1426,1461,1513,1500,1500,1500
1653385403082263892,1500,1500,1426,1461,1513,1500,1500,1500
1653385403109327775,1500,1500,1426,1461,1513,1500,1500,1500
1653385403115759176,1500,1500,1428,1461,1513,1500,1500,1500
1653385403142219457,1500,1500,1428,1461,1513,1500,1500,1500
1653385403146335693,1500,1500,1430,1461,1513,1500,1500,1500
1653385403170783050,1500,1500,1430,1461,1513,1500,1500,1500
