%time,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1653386141551444538,1500,1500,1426,1461,1513,1500,1500,1500
1653386141568858345,1500,1500,1426,1461,1513,1500,1500,1500
1653386141579530197,1500,1500,1426,1461,1513,1500,1500,1500
1653386141583611512,1500,1500,1427,1461,1513,1500,1500,1500
1653386141610746281,1500,1500,1427,1461,1513,1500,1500,1500
1653386141620974123,1500,1500,1426,1461,1513,1500,1500,1500
1653386141648194351,1500,1500,1426,1461,1513,1500,1500,1500
1653386141652545861,1500,1500,1425,1461,1513,1500,1500,1500
1653386141666251424,1500,1500,1425,1461,1513,1500,1500,1500
1653386141677437037,1500,1500,1425,1460,1513,1500,1500,1500
1653386141681257584,1500,1500,1425,1460,1513,1500,1500,1500
1653386141710301596,1500,1500,1425,1460,1513,1500,1500,1500
1653386141718739505,1500,1500,1424,1460,1513,1500,1500,1500
1653386141742677551,1500,1500,1424,1460,1513,1500,1500,1500
1653386141745374679,1500,1500,1424,1460,1513,1500,1500,1500
1653386141748724678,1500,1500,1424,1460,1513,1500,1500,1500
1653386141775230166,1500,1500,1424,1460,1513,1500,1500,1500
1653386141779132704,1500,1500,1424,1460,1513,1500,1500,1500
1653386141807522871,1500,1500,1424,1460,1513,1500,1500,1500
1653386141812076531,1500,1500,1424,1460,1513,1500,1500,1500
1653386141826932323,1500,1500,1424,1460,1513,1500,1500,1500
1653386141844255606,1500,1500,1424,1460,1513,1500,1500,1500
1653386141849338440,1500,1500,1424,1460,1513,1500,1500,1500
1653386141875482973,1500,1500,1424,1460,1513,1500,1500,1500
1653386141878715862,1500,1500,1424,1460,1513,1500,1500,1500
1653386141906271945,1500,1500,1424,1460,1513,1500,1500,1500
1653386141908640715,1500,1500,1424,1460,1513,1500,1500,1500
1653386141916668636,1500,1500,1424,1460,1513,1500,1500,1500
1653386141940288701,1500,1500,1424,1460,1513,1500,1500,1500
1653386141947616059,1500,1500,1425,1460,1513,1500,1500,1500
1653386141975197726,1500,1500,1425,1460,1513,1500,1500,1500
1653386141978741653,1500,1500,1425,1460,1513,1500,1500,1500
1653386141988681615,1500,1500,1425,1460,1513,1500,1500,1500
1653386142005994772,1500,1500,1425,1460,1513,1500,1500,1500
1653386142011646037,1500,1500,1426,1460,1513,1500,1500,1500
1653386142039228077,1500,1500,1426,1460,1513,1500,1500,1500
1653386142047490832,1500,1500,1425,1460,1513,1500,1500,1500
